Time (Sec),Analog Input 0,Analog Input 1, Analog Input 4
4.73,2.59,3.16,1.72
4.74,2.6,3.19,1.72
4.75,2.56,3.11,1.64
4.76,2.55,3.18,1.75
4.77,2.6,3.16,1.65
4.78,2.54,3.14,1.72
4.79,2.6,3.24,1.82
4.8,2.47,3.2,1.73
4.81,2.3,3.17,1.71
4.82,1.99,3.16,1.59
4.83,1.81,3.13,1.64
4.84,1.73,3.18,1.63
4.85,1.66,3.08,1.59
4.86,1.71,3.25,1.83
4.87,1.76,3.22,1.73
4.88,1.71,3.15,1.78
4.89,1.67,3.21,1.72
4.9,1.63,3.11,1.62
4.91,1.55,3.17,1.72
4.92,1.66,3.17,1.62
4.93,1.65,3.17,1.71
4.94,1.61,3.22,1.75
4.95,1.63,3.14,1.65
4.96,1.59,3.19,1.75
4.97,1.61,3.17,1.65
4.98,1.61,3.15,1.72
4.99,1.64,3.21,1.72
5.0,2.62,3.1,1.71
5.01,2.64,3.18,1.82
5.02,2.64,3.14,1.7
5.03,2.61,3.13,1.77
5.04,2.65,3.19,1.77
5.05,2.62,3.12,1.73
5.06,2.63,3.2,1.84
5.07,2.67,3.19,1.74
5.08,2.62,3.17,1.77
5.09,2.65,3.23,1.78
5.1,2.63,3.17,1.74
5.11,2.63,3.25,1.84
5.12,2.68,3.23,1.73
5.13,2.61,3.22,1.79
5.14,2.64,3.29,1.78
5.15,2.54,3.14,1.63
5.16,2.34,3.22,1.72
5.17,2.21,3.2,1.62
5.18,2.0,3.17,1.62
5.19,1.79,3.2,1.61
