Time (Sec),Analog Input 0,Analog Input 1,Analog Input 6,Analog Input 7
0.294,4.89,4.22,2.67,2.03
0.295,4.9,4.25,2.68,2.03
0.296,4.91,4.29,2.68,2.03
0.297,4.92,4.31,2.68,2.03
0.298,4.92,4.32,2.67,2.03
0.299,4.92,4.33,2.67,2.01
0.3,4.93,4.4,2.62,1.97
0.301,4.93,4.4,2.62,1.97
0.302,4.93,4.4,2.63,1.97
0.303,4.93,4.4,2.63,1.98
0.304,4.93,4.4,2.63,1.98
0.305,4.92,4.39,2.63,1.98
0.306,4.93,4.4,2.64,1.99
0.307,4.93,4.4,2.65,2.0
0.308,4.93,4.4,2.65,2.0
0.309,4.93,4.4,2.66,2.01
0.31,4.93,4.4,2.67,2.01
0.311,4.93,4.4,2.68,2.02
0.312,4.93,4.39,2.68,2.02
0.313,4.91,4.38,2.68,2.03
0.314,4.92,4.4,2.69,2.03
0.315,4.93,4.41,2.65,1.99
0.316,4.92,4.4,2.64,1.97
0.317,4.91,4.39,2.62,1.96
0.318,4.91,4.4,2.63,1.97
0.319,4.94,4.42,2.63,1.98
0.32,4.94,4.41,2.63,1.97
0.321,4.93,4.4,2.62,1.96
0.322,4.92,4.4,2.62,1.97
0.323,4.93,4.4,2.62,1.97
0.324,4.93,4.41,2.63,1.98
0.325,4.93,4.4,2.63,1.98
0.326,4.93,4.41,2.63,1.98
0.327,4.93,4.41,2.64,1.99
0.328,4.93,4.41,2.65,1.99
0.329,4.93,4.41,2.66,2.0
0.33,3.08,2.27,2.66,2.02
0.331,3.06,2.25,2.65,2.01
0.332,3.04,2.23,2.65,2.01
0.333,3.02,2.21,2.64,2.0
0.334,3.0,2.18,2.62,1.99
0.335,2.97,2.16,2.62,1.98
0.336,2.96,2.14,2.61,1.97
0.337,2.94,2.12,2.6,1.97
0.338,2.92,2.1,2.59,1.96
0.339,2.89,2.08,2.57,1.95
0.34,2.88,2.06,2.57,1.95
0.341,2.87,2.05,2.57,1.95
0.342,2.86,2.03,2.57,1.94
0.343,2.84,2.02,2.57,1.94
0.344,2.84,2.01,2.57,1.95
0.345,4.93,4.38,2.69,2.03
0.346,4.93,4.39,2.69,2.04
0.347,4.92,4.39,2.7,2.03
0.348,4.93,4.39,2.7,2.04
0.349,4.93,4.4,2.7,2.04
0.35,4.93,4.39,2.7,2.04
0.351,4.93,4.4,2.69,2.03
0.352,4.93,4.4,2.69,2.02
0.353,4.93,4.4,2.68,2.02
0.354,4.93,4.4,2.68,2.02
0.355,4.93,4.4,2.67,2.01
0.356,4.93,4.4,2.66,2.0
0.357,4.93,4.41,2.65,1.99
0.358,4.93,4.4,2.64,1.98
0.359,4.93,4.4,2.63,1.98
0.36,4.93,4.41,2.65,1.99
0.361,4.93,4.41,2.66,2.0
0.362,4.93,4.42,2.67,2.01
0.363,4.93,4.42,2.67,2.02
0.364,4.92,4.41,2.68,2.02
0.365,4.93,4.41,2.69,2.03
0.366,4.93,4.42,2.7,2.04
0.367,4.93,4.42,2.71,2.04
0.368,4.93,4.41,2.7,2.04
0.369,4.93,4.41,2.7,2.04
0.37,4.93,4.42,2.71,2.03
0.371,4.93,4.41,2.71,2.04
0.372,4.93,4.41,2.71,2.04
0.373,4.93,4.42,2.7,2.04
0.374,4.93,4.41,2.7,2.03
0.375,4.76,4.08,2.61,1.96
0.376,4.68,3.97,2.61,1.96
0.377,4.61,3.88,2.61,1.96
0.378,4.54,3.8,2.61,1.97
0.379,4.47,3.72,2.61,1.97
0.38,4.4,3.64,2.62,1.97
0.381,4.33,3.57,2.62,1.98
0.382,4.26,3.5,2.63,1.99
0.383,4.2,3.44,2.63,1.99
0.384,4.14,3.37,2.64,2.0
0.385,4.08,3.31,2.65,2.01
0.386,4.02,3.26,2.66,2.01
0.387,3.97,3.2,2.66,2.02
0.388,3.92,3.15,2.67,2.03
0.389,3.87,3.1,2.67,2.03
0.39,2.9,2.0,2.59,1.96
0.391,2.89,1.98,2.58,1.95
0.392,2.87,1.97,2.57,1.95
0.393,2.87,1.96,2.57,1.95
0.394,2.86,1.95,2.57,1.94
0.395,2.85,1.94,2.57,1.94
0.396,2.85,1.94,2.57,1.94
0.397,2.85,1.93,2.57,1.94
0.398,2.85,1.92,2.57,1.95
0.399,2.85,1.91,2.57,1.95
0.4,2.85,1.91,2.58,1.96
0.401,2.86,1.91,2.59,1.96
0.402,2.86,1.91,2.6,1.97
0.403,2.87,1.91,2.6,1.97
0.404,2.88,1.91,2.61,1.98
0.405,4.92,4.42,2.69,2.02
0.406,4.93,4.41,2.68,2.02
0.407,4.93,4.41,2.67,2.01
0.408,4.93,4.41,2.67,2.01
0.409,4.93,4.42,2.67,2.0
0.41,4.93,4.42,2.65,1.98
0.411,4.91,4.4,2.64,1.98
0.412,4.91,4.41,2.63,1.97
0.413,4.92,4.42,2.63,1.97
0.414,4.93,4.42,2.63,1.97
0.415,4.92,4.42,2.62,1.96
0.416,4.93,4.42,2.62,1.96
0.417,4.92,4.42,2.62,1.96
0.418,4.93,4.42,2.62,1.96
0.419,4.92,4.41,2.62,1.96
0.42,4.92,4.42,2.69,2.03
0.421,4.91,4.41,2.69,2.03
0.422,4.91,4.41,2.69,2.03
0.423,4.91,4.42,2.7,2.03
0.424,4.92,4.42,2.7,2.03
0.425,4.92,4.42,2.7,2.03
0.426,4.92,4.42,2.69,2.03
0.427,4.92,4.42,2.69,2.02
0.428,4.92,4.42,2.68,2.01
0.429,4.91,4.41,2.67,2.01
0.43,4.91,4.41,2.67,2.0
0.431,4.92,4.42,2.66,1.99
0.432,4.92,4.43,2.65,1.99
0.433,4.93,4.43,2.65,1.98
0.434,4.93,4.43,2.64,1.97
0.435,3.63,2.9,2.62,1.98
0.436,3.59,2.86,2.61,1.98
0.437,3.55,2.81,2.61,1.98
0.438,3.52,2.78,2.62,1.99
0.439,3.49,2.75,2.63,2.0
0.44,3.47,2.72,2.64,2.0
0.441,3.44,2.68,2.64,2.0
0.442,3.42,2.66,2.65,2.01
0.443,3.41,2.64,2.66,2.01
0.444,3.39,2.61,2.66,2.01
